Timestamp,Year,Full Time Status of Past School Years,Avg Study Time (During Pandemic),Avg Study Time (Pre Pandemic),Avg Freq of Skipping Online Lec (Weekly),Avg Freq of Skipping In-Person Lec (Weekly),Lec Delivery Mode Preference,Study Environment Preference,Avg Freq of Participating OH (During Pandemic),Avg Freq of Participating OH (After Pandemic),Better Lec Quality Period,Comprehension Lv. of Materials of Online Lecture,Distraction Lv. of Online Lec Compared to In-Person Lec,cGPA during the Pandemic (2019 Winter - 2021 Winter),cGPA after the Pandemic (2021 Spring - 2022 Summer)
2022/10/25 8:10:30 PM AST,Year 3,2020;2021;2022;,< 3 Hours,< 3 Hours,0,1,Online,School,0,0,Same,3,4,3.0 - 3.5,3.0 - 3.5
2022/10/27 11:40:30 PM AST,Year 4,2019 and before;,3 - 4 Hours,< 3 Hours,4,0,Online,Home,0,0,Pre-Pandemic,4,5,3.0 - 3.5,2.6 - 2.9
2022/10/27 11:47:33 PM AST,Year 3,2020;,4 - 5 Hours,3 - 4 Hours,2,1,In-person,School,1,2,Pre-Pandemic,2,4,2.0 - 2.5,3.0 - 3.5
2022/10/28 12:41:54 AM AST,Year 4,2019 and before;,> 6 Hours,> 6 Hours,0,1,Online,Home,0,0,Pre-Pandemic,3,3,3.0 - 3.5,3.0 - 3.5
2022/10/28 12:45:57 AM AST,Year 3,2020;2021;2022;,5 - 6 Hours,5 - 6 Hours,0,0,In-person,Home,0,0,Same,4,3,3.0 - 3.5,3.0 - 3.5
2022/10/28 2:59:27 PM AST,Year 4,2022;,4 - 5 Hours,5 - 6 Hours,0,0,Online,Home,2,3,Pandemic,5,2,3.0 - 3.5,3.0 - 3.5
2022/10/28 3:17:01 PM AST,Year 3,2022;,< 3 Hours,4 - 5 Hours,2,1,In-person,School,1,2,Same,3,4,2.6 - 2.9,3.0 - 3.5
2022/10/28 7:02:59 PM AST,Year 3,2020;2021;2022;,5 - 6 Hours,4 - 5 Hours,0,0,In-person,School,0,2,Same,4,2,3.6 - 4.0,3.6 - 4.0
2022/10/28 7:03:01 PM AST,Year 3,2019 and before;2020;2021;2022;,5 - 6 Hours,4 - 5 Hours,5,5,Online,Home,0,0,Same,5,3,3.6 - 4.0,3.6 - 4.0
2022/10/28 9:07:21 PM AST,Year 4,2019 and before;,< 3 Hours,< 3 Hours,5,5,Online,Home,0,0,Same,4,1,3.0 - 3.5,3.6 - 4.0
2022/10/29 8:53:41 AM AST,Year 4,2019 and before;2020;2021;2022;,> 6 Hours,> 6 Hours,1,0,Online,Home,3,1,Pre-Pandemic,5,2,3.0 - 3.5,3.0 - 3.5
2022/10/29 3:12:50 PM AST,Year 3,2022;,5 - 6 Hours,3 - 4 Hours,3,1,In-person,School,0,0,Same,1,5,2.6 - 2.9,2.6 - 2.9
2022/10/31 5:55:00 PM AST,Year 3,2022;,< 3 Hours,4 - 5 Hours,0,0,In-person,School,0,0,Pre-Pandemic,4,5,3.0 - 3.5,2.6 - 2.9
2022/11/01 4:08:41 PM AST,Year 3,2020;2021;2022;,3 - 4 Hours,4 - 5 Hours,2,1,In-person,School,2,1,Pre-Pandemic,2,4,2.6 - 2.9,3.0 - 3.5
2022/11/01 4:10:13 PM AST,Year 4,2019 and before;2020;2021;2022;,< 3 Hours,< 3 Hours,1,0,In-person,Home,1,0,Same,2,5,2.6 - 2.9,2.6 - 2.9
2022/11/01 4:12:12 PM AST,Year 3,2020;2021;2022;,4 - 5 Hours,< 3 Hours,1,0,In-person,School,0,0,Same,4,4,3.0 - 3.5,3.0 - 3.5
2022/11/01 4:12:26 PM AST,Year 3,2020;,4 - 5 Hours,> 6 Hours,2,0,In-person,School,2,2,Pre-Pandemic,2,4,3.0 - 3.5,3.0 - 3.5
2022/11/01 5:08:44 PM AST,Year 3,2020;2021;2022;,4 - 5 Hours,4 - 5 Hours,3,1,In-person,School,2,1,Pre-Pandemic,3,5,3.0 - 3.5,2.6 - 2.9
2022/11/01 5:15:21 PM AST,Year 4,2019 and before;,< 3 Hours,3 - 4 Hours,0,0,In-person,School,2,4,Pre-Pandemic,1,5,2.6 - 2.9,3.6 - 4.0
2022/11/01 5:18:01 PM AST,Year 3,2020;2021;2022;,< 3 Hours,< 3 Hours,4,2,In-person,School,1,0,Pre-Pandemic,3,5,3.0 - 3.5,3.0 - 3.5
2022/11/01 5:20:08 PM AST,Year 3,2020;2021;2022;,3 - 4 Hours,< 3 Hours,1,2,Online,Home,1,0,Pandemic,4,2,2.6 - 2.9,2.0 - 2.5
2022/11/01 5:24:03 PM AST,Year 3,2020;2021;2022;,< 3 Hours,< 3 Hours,0,0,In-person,School,0,0,Same,4,3,3.0 - 3.5,3.0 - 3.5
2022/11/01 5:25:50 PM AST,Year 3,2021;,3 - 4 Hours,4 - 5 Hours,2,0,In-person,School,0,2,Pre-Pandemic,2,3,2.6 - 2.9,3.0 - 3.5
2022/11/01 8:28:05 PM AST,Year 4,2019 and before;,< 3 Hours,< 3 Hours,0,0,In-person,Home,0,0,Pre-Pandemic,4,5,3.0 - 3.5,3.0 - 3.5
2022/11/01 11:53:08 PM AST,Year 4,2022;,4 - 5 Hours,3 - 4 Hours,4,4,Online,Home,0,0,Same,4,3,3.0 - 3.5,3.0 - 3.5
2022/11/02 4:01:25 PM AST,Year 3,2020;2021;2022;,< 3 Hours,3 - 4 Hours,3,2,In-person,School,0,2,Pre-Pandemic,3,4,3.0 - 3.5,3.0 - 3.5
2022/11/02 5:07:17 PM AST,Year 3,2019 and before;,4 - 5 Hours,< 3 Hours,1,0,In-person,School,0,1,Pre-Pandemic,2,5,3.0 - 3.5,3.0 - 3.5
2022/11/02 5:08:36 PM AST,Year 3,2020;2021;2022;,4 - 5 Hours,> 6 Hours,3,2,Online,School,0,0,Pre-Pandemic,2,4,2.0 - 2.5,3.0 - 3.5
2022/11/02 5:09:08 PM AST,Year 4,2019 and before;2020;2021;2022;,3 - 4 Hours,5 - 6 Hours,3,2,In-person,School,3,5,Pre-Pandemic,3,5,2.6 - 2.9,3.0 - 3.5
2022/11/02 5:10:01 PM AST,Year 3,2019 and before;2020;2021;2022;,5 - 6 Hours,3 - 4 Hours,0,10,Online,Home,0,0,Pandemic,3,4,3.0 - 3.5,3.0 - 3.5
2022/11/02 5:10:05 PM AST,Year 3,2020;2021;2022;,< 3 Hours,< 3 Hours,3,3,Online,Home,3,2,Pandemic,4,3,3.0 - 3.5,3.0 - 3.5
2022/11/02 5:11:44 PM AST,Year 5 and above,2019 and before;2020;2021;2022;,< 3 Hours,< 3 Hours,6,1,In-person,School,0,1,Same,3,5,3.0 - 3.5,3.0 - 3.5
2022/11/02 5:24:04 PM AST,Year 4,2019 and before;2020;2021;2022;,5 - 6 Hours,> 6 Hours,2,2,Online,School,0,0,Pre-Pandemic,5,4,3.6 - 4.0,3.0 - 3.5
2022/11/02 5:59:27 PM AST,Year 4,2020;2021;2022;,4 - 5 Hours,3 - 4 Hours,2,2,In-person,School,2,1,Pandemic,5,5,2.0 - 2.5,2.0 - 2.5
2022/11/02 5:59:33 PM AST,Year 5 and above,2019 and before;2020;2021;2022;,4 - 5 Hours,> 6 Hours,0,1,In-person,School,0,0,Pre-Pandemic,3,4,3.0 - 3.5,3.0 - 3.5
